标题,链接,作者关键字,索引关键字
"Fog computing and its role in the internet of things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866627419&doi=10.1145%2f2342509.2342513&partnerID=40&md5=3efecb1babc7eefa13ac5001795ea3b8","analytics; cloud computing; fog computing; iot; real time systems; software defined networks; wsan","analytics; Computing paradigm; Internet of Things (IOT); iot; Location awareness; Low latency; Real-time application; Services and applications; Smart grid; Wireless access; Wireless sensor; wsan; Cloud computing; Interactive computer systems; Internet; Real time systems; Fog"
"Internet of things for smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908397157&doi=10.1109%2fJIOT.2014.2306328&partnerID=40&md5=a26ce02f24ad18f54727d982b99fd161","6lowPAN; Constrained Application Protocol (CoAP); Efficient XML Interchange (EXI); network architecture; sensor system integration; service functions and management; Smart Cities; testbed and trials","Complex networks; Computer architecture; Design; Internet; Network architecture; 6LoWPAN; Constrained Application Protocol (CoAP); Efficient XML Interchange (EXI); Sensor systems; Service functions; Smart cities; Internet of things"
"Understanding smart cities: An integrative framework","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857957415&doi=10.1109%2fHICSS.2012.615&partnerID=40&md5=7de8372f80885cba236bd98190ecdd29",,"Network function virtualization; Population statistics; Urban growth; Academic research; Critical factors; Integrative framework; Local government; Natural environments; Rapid urbanizations; Urban population; Smart city"
"Integration of Cloud computing and Internet of Things: A survey","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958935292&doi=10.1016%2fj.future.2015.09.021&partnerID=40&md5=396c659671089ad0aa3e4c1a0916fdc8","Cloud computing; Cloud of things; Internet of Things; Pervasive applications; Smart city; Ubiquitous networks","Cloud computing; Distributed computer systems; Internet; Surveys; Ubiquitous computing; Gaining momentum; Internet of Things (IOT); Literature survey; New applications; Pervasive applications; Research challenges; Smart cities; Ubiquitous networks; Internet of things"
"The real-time city? Big data and smart urbanism","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894317469&doi=10.1007%2fs10708-013-9516-8&partnerID=40&md5=97eb48d5492f43979c821a3d8444a3c8","Big data; Data analytics; Governance; Real-time analysis; Smart cities; Ubiquitous computing; Urbanism",
"Smart cities: Definitions, dimensions, performance, and initiatives","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928098865&doi=10.1080%2f10630732.2014.942092&partnerID=40&md5=ed9769c7a75916630bc1de0d5f909dba","indicators; smart city; sustainability; urban development",
"Current trends in smart city initiatives: Some stylised facts","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892634029&doi=10.1016%2fj.cities.2013.12.010&partnerID=40&md5=0eff0621a25af4eb4b84bcb1eb3ab983","Information systems; Public policies; Regression analysis; Smart City; Urban planning","economic development; empirical analysis; information system; policy making; quality of life; regression analysis; urban economy; urban planning; urban policy"
"A Survey on Internet of Things: Architecture, Enabling Technologies, Security and Privacy, and Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026378512&doi=10.1109%2fJIOT.2017.2683200&partnerID=40&md5=b923a2cb9171a7da22e0ab1452d7615d","Applications; enabling technologies; fog/edge computing; internet of Things (IoT); security and privacy","Applications; Computer architecture; Cyber Physical System; Embedded systems; Fog; Fog computing; Human computer interaction; Network architecture; Quality of service; Distributed architecture; Enabling technologies; Existing architectures; Internet of Things (IOT); Security and privacy; Security and privacy issues; Smart transportations; System architectures; Internet of things"
"Smart cities of the future","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870948261&doi=10.1140%2fepjst%2fe2012-01703-3&partnerID=40&md5=f968ba11181ceb21d77c4a6afb63144f",,
"Low Power Wide Area Networks: An Overview","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020458974&doi=10.1109%2fCOMST.2017.2652320&partnerID=40&md5=be1f4cb57ebd5f6abe7c5de08a0e52f2","cellular; Internet of Things; IoT; low power wide area; LPWA; LPWAN; machine-to-machine communication","Internet of things; Low power electronics; Machine-to-machine communication; Smart city; Standardization; Wireless telecommunication systems; cellular; Low Power; LPWA; LPWAN; Research challenges; Research communities; Short-range wireless; Standards development organizations; Wide area networks"
